1457,Numerals - large numbers,12,100%,0%,1,1,1,100%
1869,Rep "um$" and "un$",3,100%,0%,1,1,1,0%
1875,Rep "rsk" and "rk",1,100%,0%,1,1,1,0%
1409,Spelling mistake - gi omlyd,19,68.4%,0%,0.97,1,0.68,0%
1413,Spelling mistake - "hesa/hesi" with "hesu",7,57.1%,0%,0.96,1,0.57,0%
1421,Spelling mistake - ki omlyd,14,100%,0%,0.94,0.93,1,0%
1451,Capital initial letter,147,70.1%,0.7%,0.92,0.94,0.7,100%
1818,Spelling mistake - foreign words,3,33.3%,0%,0.89,1,0.33,0%
1870,Double consonant,27,40.7%,3.7%,0.85,0.92,0.41,0%
2091,Vowel confusion,25,36%,0%,0.83,0.9,0.38,0%
1780,Pronouns - reflexive,6,16.7%,0%,0.77,1,0.17,0%
